TAGALOG,KAPAMPANGAN
bilang,bilang
ako,yaku
kanya,ikayang
na,na
siya,iya
noon ay,kanita ay
para sa,para king
sa,sa
ay,ay
may,atin
sila,karela
maging,maging
isa,sa
mayroon,atin
ito,ini
mula sa,ketang
sa pamamagitan,Paggamit
mainit,Mapali
salita,Nung salitang
ngunit,Ngunit din
kung ano,Jang Nanu
ilang,pilan
ay,A
ito,Ini
o,Okaya
nagkaroon,Mag ka atin
ang,lng
ng,A
sa,Keng
isang,Metung
sa,A
namin,kekami
maaari,Malyaring
labas,lumwal
ibang,Aliwang
ay,Nokarin
kung saan,Kung nokarin
gawin,Gawan
ang kanilang,ing karelang
oras,oras
kung,Nung
pamanahan,A pamana
kung paano,Nung makananu
sinabi,sabi
isang,metung
bawat,metung at metung
sabihin,sinabi
gumagana,gagana
hanay,hanay
tatlong,atlung
gusto,buri
naka,babo
na rin,masanting
ring,rin
pagtatapos,payari
ilagay,Ilage
tahanan,Bale
basahin,Basan
Kamay,Gamat
daluyan,daluyan
oras ng paggawa,Ning oras ning pag gawa
magdagdag,Magdagdag
kahit na,Jang
kailangan,Kaylangan
mataas,Matas
tulad,Kalupa
sundin,Tutukyan
kumilos,Kumilus
bakit,Nanu
magtanong,Mangutang
mga lalaki,Reng lalaki
pagbabago,Pagbayu
nagpunta,Minta
liwanag,Masala
uri,Aliwa
mula sa,Mula keng
kailangan,Kaylangan
bahay,Bale
larawan,Litratu
subukan,Subukan
atin,Kekatamu
muli,ulit
hayop,Hayup
punto,Keng puntung
nanay,Inda
mundo,Yatu
magtayo,Magtalakad
sarili,sarili
anumang,nanu man
bago,bayu
trabaho,obra
bahagi,bahagi
kumuha,mangwa
kumuha,kuma
lugar,lugar
ginawa,ginagawa
mabuhay,mabye
pagkatapos,pagkayari
lamang,murin
pag-ikot,dudurut
taon,banwa
dumating,dinatang
palabas,palabas
bawat,bawat
mabuti,maganaka
magbigay,mamye
ang aming,lng kekaming
sa ilalim,keng lalam
pangalan,lagyu
napaka,nakang
lamang,lamang
paraan,paralan
pangungusap,pangungusap murin
mahusay,byasa
palagay,palage
sabihin,sabyan
tulungan,sopan
mababa,malalam
linya,linya
mag-iba,mag aliwa
pagliko,pakorba
dahilan,dahilan
magkano,magkanu
ibig sabihin,ng buring sabyan
bago(before),bayu
paglipat,paglipat
karapatan,karapatan
batang lalaki,anak a lalaki
luma(old),luma
masyado,masyadu
pareho,parehas
siya,iya
lahat,ilangan
doon,keta
kapag,kapag
pataas,babo
gamitin,gamitan
iyong,lng kekang
paraan,paralan
tungkol sa,tungkul keng
marami,marakal
pagkatapos,pagkayari
sa,Keng
sa iyo,Keng keka
at(and),Atchaka
maglaro,Mamyalung
maliit,Malati/makuyad
lupa,Gabun
dito,Keni
malaki,maragul
saan,nokarin
likod,gulut
maliit,malati
tao,tawu
mahaba,makaba
malapad,malapad
makapal,makapal
mabigat,mabayat
isda,asan
ibon,ayup
aso,asu
ahas,bingan
balat,balat
karne,karni
buto,butul
buntot,iki
balahibo,bulbul
buhok,bwak
ulo,buntuk
tenga,balugbug
mata,mata
ilong,arung
inumin,minum
kain,mangan
kagat,kinis
buhay,mabie
patay,mate
pula,malutu
berde,berdi
dilaw,dilo
itim,matuling
araw,aldo
dagat,dagat
langit,banua
babae,babayi
baliw,murit
maingay,masigla
panget,matsura
maligo,mandilu
matalino,byasa
ewan,tabalu
kamay,gamat
tama,istu
pawis,pawas
hugas,wasan
hampas,tiran
langoy,kawe
kita,ikit
amoy,abawu
piga,paslan
kuskusin,agud
dinig,dimdam
manghuli,pantunan
tamaan,tiran
gupitin,putut
lipad,sulapo
kasinungalingan,magkera
alam,balu 
kuya,koya
ate,achi
magulang,pengari
ina/nanay,ima/indu
kapatid,kapatad
lolo,ingkong
lola,apu
ninang,dara
ninong,bapa
pinsan,pisan
mas batang kapatid,wali
unang pinsan,pisan alang pilatan
mabigla,meniglo/maniglo
malaki,madagul
tumalon,lukdang
malamig,marimla
mainit,mapali
isa,metung
dalawa,adua
tatlo,atlung
apat,apat
,
anim,anam
pito,pitu
walo,walu
siyam,siyam
sampo,apulu
isang daan,dinalan
dalawang daan,adwang dalan
bumili,sali
bibili ako niyan,saliwan ke ini/ita
parang,balamu
talata,telatag
pusa,pusa
daliri,taliri
hintuturo,panuldu
kuko,kuku
nag-aaway,mipapate
hindi naman,enaman
silya,luklukan
matalim,mataram
,
,
magandang umaga,mayap a abak
magandang hapon,mayap a ugtu/gatpanapun
magandang gabi,mayap a bengi
maraming salamat,salamat
halika dito,mekeni
oo/opo,ua/wa
hindi,ali
gusto ko,bisa ku/buri ku
hindi ko alam,e ku balu/tabalu
hindi ko gusto,e ku bisa
hindi ko gusto,e ku buri
saan?,nukarin?
ano?,nanu?
ano pangalan mo?,nanu ka lagyu?
taga saan ka?,taga nu ka rin ka?
ano ang gusto mo?,nanu ing buri mu?
saan ka pupunta?,nu ka rin ka munta?
sino ka?,ninu ika?
magkano ito?,magkanu ya ini?
ano ito?,nanu ya ini?
ano iyan?,nanu ya ita?
gwapo,masanting
maganda,malagu
maasim ,maslam
matamis,mayumu
malaki,madagul 
maliit,malati
konti,ditak/kapuranggit
kaliwa ,kaili
kanan,uanan/wanan
malamig,marimla
mainit,mapali
mahal ,mal
mura,mura
ilang taon kana?,pilan na kang banwa?
may tanong ako,atin kung kutang
,
hindi naman,enaman
magandang umaga,mayap a abak
sa pamamagitan ng ,keng pamagitan ning